Id,Name,Link,ConformanceUnits
1015,GlassMachineType,"https://reference.opcfoundation.org/Glass/Flat/v2/v200/docs/7.1.2","FlatGlass_GlassMachineType;"
1020,GlassMachineIdentificationType,"https://reference.opcfoundation.org/Glass/Flat/v2/v200/docs/7.2","FlatGlass_GlassMachineIdentificationType;"
1030,GlassEventType,"",""
1041,ManualFolderType,"https://reference.opcfoundation.org/Glass/Flat/v2/v200/docs/7.3","FlatGlass_ManualFolderType;"
1063,ConfigurationRulesType,"https://reference.opcfoundation.org/Glass/Flat/v2/v200/docs/7.4","FlatGlass_ConfigurationRulesType;"
3003,SignificantSideEnumeration,"",""
3004,StructureAlignmentEnumeration,"",""
3005,SpacerMaterialClass,"",""
3006,UserProfileDataType,"https://reference.opcfoundation.org/Glass/Flat/v2/v200/docs/8.1","FlatGlass_UserProfileDataType;"
3007,FileFormatDataType,"https://reference.opcfoundation.org/Glass/Flat/v2/v200/docs/8.2","FlatGlass_FileFormatDataType;"
3008,CoordinateSystemEnumeration,"https://reference.opcfoundation.org/Glass/Flat/v2/v200/docs/8.4","FlatGlass_CoordinateSystemEnumeration;"
3009,CoatingClassEnumeration,"",""
3011,ProcessingParameterDataType,"https://reference.opcfoundation.org/Glass/Flat/v2/v200/docs/8.5","FlatGlass_ProcessingParameterDataType;"
3012,ReasonDescriptionType,"https://reference.opcfoundation.org/Glass/Flat/v2/v200/docs/8.3","FlatGlass_ReasonDescriptionType;"
3014,ProcessingCategoryDataType,"https://reference.opcfoundation.org/Glass/Flat/v2/v200/docs/8.6","FlatGlass_ProcessingCategoryDataType;"
3017,EClassTermDataType,"https://reference.opcfoundation.org/Glass/Flat/v2/v200/docs/8.7","FlatGlass_EClassTermDataType;"
3020,ValueDataType,"https://reference.opcfoundation.org/Glass/Flat/v2/v200/docs/8.8","Subtype of Structure defined in OPC UA 10000-5;"
5041,http://opcfoundation.org/UA/Glass/Flat/v2/,"https://reference.opcfoundation.org/Glass/Flat/v2/v200/docs/10.1",""
